,Q3A,Q5A,Q10A,Q13A,Q16A,Q17A,Q21A,Q24A,Q26A,Q31A,Q34A,Q37A,Q38A,Q42A,Extraverted-enthusiastic,Critical-quarrelsome,Dependable-self_disciplined,Anxious-easily upset,Open to new experiences-complex,Reserved-quiet,Sympathetic-warm,Disorganized-careless,Calm-emotionally_stable,Conventional-uncreative,VCL1,VCL2,VCL3,VCL4,VCL5,VCL6,VCL7,VCL8,VCL9,VCL10,VCL11,VCL12,VCL13,VCL14,VCL15,VCL16,education,urban,gender,engnat,age,screensize,hand,religion,orientation,race,voted,married,familysize,AgeGroups,Condition
7861,0,0,0,0,0,1,0,0,1,0,1,0,0,0,3,3,5,6,5,5,4,4,4,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,2,20,1,1,10,1,10,2,1,3,2,0
6579,2,1,3,3,3,3,2,2,3,1,1,3,2,3,6,7,6,6,6,3,7,2,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,2,20,1,1,10,1,10,2,1,4,2,2
7805,3,1,2,2,2,2,3,2,3,2,2,1,3,2,3,5,1,7,2,6,7,6,2,6,1,1,0,1,0,0,0,0,0,1,0,0,0,0,1,1,3,3,2,1,21,1,1,10,1,10,2,1,5,2,2
5324,3,2,2,2,2,2,3,3,2,2,3,1,2,2,3,5,1,5,4,7,7,7,4,4,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,3,3,2,2,19,1,1,10,4,70,2,1,4,2,2
34781,2,1,0,1,1,1,1,1,1,1,1,1,0,2,4,6,6,6,4,5,4,5,5,5,1,0,0,1,1,0,0,0,0,1,0,0,0,1,1,1,3,3,2,2,26,1,1,6,3,10,2,1,4,3,1
17296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,1,1,6,2,3,1,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,1,2,2,31,1,1,10,1,10,1,1,6,3,0
10929,2,3,3,3,2,2,3,3,1,3,2,2,1,2,6,3,7,6,7,4,6,2,7,1,1,1,0,1,1,0,1,0,0,1,0,0,1,1,1,1,0,3,2,1,59,2,2,12,1,60,1,3,2,5,2
20197,1,1,0,1,1,0,1,1,1,1,1,1,0,1,6,1,4,6,7,7,7,6,6,4,1,0,0,1,0,0,0,0,1,1,0,0,1,1,1,1,3,1,2,2,20,1,1,10,1,10,2,1,5,2,0
2255,2,2,0,1,3,1,1,2,2,0,1,2,1,3,1,5,5,7,5,6,6,3,4,3,1,1,0,1,1,0,0,0,0,1,0,0,1,1,1,1,2,3,2,2,21,2,3,4,2,70,2,1,3,2,2
37919,1,1,1,2,1,0,1,3,2,0,3,1,1,2,6,3,4,7,5,3,6,6,4,5,1,0,0,1,1,0,0,0,0,1,0,0,0,1,1,1,2,3,2,2,16,1,1,10,1,10,2,1,4,1,1
25051,1,1,1,2,1,1,1,1,1,1,1,1,1,1,5,3,5,5,3,5,6,3,3,3,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,3,2,2,1,21,1,1,10,1,10,2,1,4,2,1
11201,1,2,1,2,1,1,1,2,1,2,1,1,1,3,2,4,6,2,3,7,3,7,7,5,1,1,0,1,1,0,0,0,0,1,0,0,1,1,1,1,2,2,3,2,19,2,1,1,5,60,1,1,3,2,1
5877,0,1,0,1,1,0,0,1,3,0,2,0,0,1,6,4,4,6,7,4,4,6,3,4,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,4,3,2,2,24,1,2,10,1,10,2,1,3,3,0
4295,2,3,2,3,2,3,2,3,2,2,2,1,1,3,1,5,3,7,1,6,3,7,1,5,1,1,0,1,1,0,0,0,1,1,0,0,0,1,1,1,3,1,2,1,33,1,1,7,1,30,2,3,1,3,2
7390,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6,6,3,6,1,6,2,5,4,1,0,0,1,1,0,0,0,0,1,0,0,0,0,1,1,3,3,2,2,24,1,1,10,1,10,2,1,4,3,0
8916,1,2,3,1,2,3,3,1,2,1,3,3,0,1,5,2,6,5,5,5,6,3,4,3,1,0,0,1,1,0,0,0,0,1,0,0,0,0,1,1,3,3,2,2,21,1,1,10,1,10,2,1,2,2,2
14768,1,1,1,2,2,1,1,1,2,2,2,1,1,0,5,4,3,5,6,5,7,6,4,2,1,0,0,1,1,0,0,0,0,1,0,0,0,0,1,1,3,3,2,1,22,1,1,4,1,10,2,1,7,3,1
14701,1,0,0,3,2,0,0,0,0,0,0,0,1,2,5,3,7,5,4,4,5,7,6,2,1,1,0,1,1,0,0,0,0,1,0,0,0,0,1,1,2,3,2,2,22,1,1,6,1,30,2,1,4,3,0
36329,0,2,1,0,3,0,0,1,3,2,2,3,1,0,4,3,7,5,7,5,7,7,7,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,2,2,21,1,1,10,5,70,2,1,6,2,1
2897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,6,1,6,6,5,2,6,4,1,1,1,1,1,0,0,0,0,1,0,0,1,1,1,1,4,3,1,2,26,2,1,7,1,60,2,1,1,3,0
17649,1,3,1,0,1,0,3,0,1,3,1,1,1,1,5,5,5,5,5,5,5,5,5,5,1,0,0,1,1,0,0,0,0,1,0,0,0,0,1,1,3,3,2,2,21,1,2,10,5,70,2,1,6,2,1
12274,2,2,3,2,2,2,2,2,2,2,2,2,2,2,5,6,4,7,6,1,6,7,2,5,1,1,0,1,1,0,0,0,0,1,0,0,0,1,1,1,2,3,2,1,37,1,1,6,1,60,1,2,3,4,2
29985,2,1,1,2,2,1,2,1,2,1,1,1,1,2,4,5,3,5,5,6,6,3,1,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,1,1,2,2,2,2,22,1,1,10,1,10,2,1,8,3,1
6376,0,0,0,1,0,1,0,0,1,0,0,0,0,0,4,1,6,5,6,6,5,4,4,5,1,0,0,1,1,0,0,0,1,1,0,0,0,0,1,1,2,2,2,2,15,1,1,10,0,10,2,1,3,1,0
16118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,6,1,7,6,4,1,6,2,1,1,0,1,1,0,0,0,0,1,0,0,0,1,1,1,2,2,2,2,23,1,1,10,1,10,1,1,4,3,0
5190,0,0,0,1,0,0,0,0,1,1,0,1,0,0,6,5,6,5,5,4,6,5,5,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,4,2,2,2,23,2,1,10,1,10,2,1,4,3,0
1068,2,3,2,3,2,2,1,2,3,1,2,1,1,3,5,2,6,5,7,7,7,1,5,2,1,1,1,1,1,0,0,0,0,1,0,0,1,1,1,1,1,3,2,1,17,2,1,12,3,60,2,1,1,2,2
11784,1,2,1,1,1,0,1,1,1,1,1,2,2,3,3,5,3,4,6,6,5,3,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,2,26,1,1,1,1,60,2,1,2,3,1
9298,2,2,1,2,3,3,1,3,3,1,3,3,1,2,3,5,6,6,3,2,4,5,3,6,1,1,0,1,0,0,0,0,0,1,0,0,0,0,1,1,3,3,2,2,20,1,1,10,1,10,2,1,4,2,2
10098,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,6,6,5,7,4,3,1,3,1,1,0,1,1,0,0,0,0,1,0,1,1,1,1,1,2,2,2,1,21,1,2,2,1,60,1,1,3,2,2
37007,1,1,1,1,1,3,0,1,1,1,3,1,1,1,5,4,6,6,7,7,5,6,3,5,1,1,0,1,1,0,0,0,0,1,0,0,0,1,1,1,2,2,2,2,18,1,1,10,1,70,2,1,5,2,1
20727,1,0,3,2,1,1,1,0,0,0,2,1,1,2,5,6,5,4,7,1,4,7,2,6,1,1,0,1,0,0,0,0,0,1,0,0,0,0,1,1,3,3,2,2,21,1,1,10,1,10,2,1,2,2,1
23141,1,2,1,1,0,1,2,1,2,2,1,1,1,1,4,6,3,7,5,5,5,5,3,4,0,1,0,0,0,0,0,1,1,1,0,1,1,0,1,0,1,3,2,2,27,1,1,10,1,10,2,2,6,3,1
6433,1,1,0,1,2,1,0,2,1,1,1,0,0,1,4,3,5,6,7,3,5,5,6,7,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,2,3,2,2,14,1,1,10,1,70,2,1,6,1,0
15419,1,0,0,1,0,0,0,1,0,0,0,0,0,1,7,5,7,5,7,5,7,2,6,1,1,1,1,1,1,0,1,0,0,1,0,0,0,1,1,1,3,2,1,2,38,2,1,10,1,10,1,3,5,4,0
16412,0,0,1,1,1,2,1,2,0,2,2,1,0,1,7,3,4,1,2,6,6,4,5,4,1,1,0,1,1,0,0,0,0,1,0,0,1,1,1,1,3,2,1,2,20,1,1,10,1,10,2,1,3,2,1
10056,0,2,1,2,2,0,0,1,2,1,0,1,0,2,1,3,2,7,4,6,5,5,2,6,1,1,1,1,1,0,0,0,0,1,0,0,1,1,1,1,3,1,1,1,23,1,2,1,3,60,1,1,2,3,1
13141,1,2,3,3,2,2,3,2,3,2,2,3,3,1,2,2,5,4,5,6,3,3,6,2,1,1,0,1,1,0,0,0,0,1,0,0,0,1,1,1,3,3,2,2,38,2,1,1,1,60,1,1,3,4,2
14998,0,1,0,0,0,2,0,1,0,0,1,0,0,0,1,5,7,7,7,7,7,5,2,6,1,0,0,1,1,0,0,0,1,1,0,0,0,1,1,1,2,3,2,2,16,1,1,4,2,60,2,1,0,1,0
20004,0,0,2,1,1,1,0,0,0,0,0,2,0,1,5,7,5,6,5,5,4,3,3,4,1,1,0,1,0,0,0,0,0,1,0,1,0,0,1,1,3,3,2,2,27,1,1,10,1,10,1,2,2,3,0
16656,0,0,3,3,3,0,0,1,1,2,2,1,1,1,2,3,5,6,6,7,7,5,3,3,1,0,1,1,0,0,0,0,0,1,0,0,0,0,1,1,4,2,2,2,25,1,1,10,5,10,1,1,3,3,1
26980,0,2,1,2,1,0,1,2,1,1,1,1,1,3,6,4,6,5,6,4,6,7,3,2,1,1,0,1,1,0,0,0,0,1,0,0,0,1,1,1,2,3,2,1,20,1,1,4,3,60,2,1,2,2,1
27822,1,2,1,1,1,2,0,2,1,1,2,1,0,2,4,7,1,6,7,5,5,7,2,3,1,1,1,1,1,0,0,1,0,1,0,0,1,1,1,1,3,1,1,1,28,2,1,4,1,60,1,2,2,3,1
6844,0,1,0,1,0,0,0,0,0,0,0,0,0,0,6,5,6,2,7,2,7,2,7,1,1,1,0,1,1,0,0,1,0,1,0,0,0,1,1,1,3,2,1,2,20,1,1,10,5,70,2,1,3,2,0
9718,3,3,3,1,3,3,1,1,3,0,3,3,3,1,5,6,7,7,5,5,7,7,5,7,1,1,0,1,1,0,0,0,0,1,0,0,0,1,1,1,2,1,2,2,23,1,1,10,4,10,2,2,7,3,2
4466,0,1,1,1,1,1,0,1,1,0,0,1,0,0,5,5,6,5,5,5,6,3,4,4,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1,4,2,2,1,38,2,1,4,1,60,1,1,5,4,0
11682,3,1,2,2,2,1,1,1,1,2,0,1,1,2,5,4,6,5,3,5,6,2,3,6,1,1,0,1,1,1,0,0,0,1,0,0,1,1,1,1,3,1,1,1,35,2,1,4,1,60,2,2,2,3,1
21310,0,0,0,1,0,0,0,0,1,0,0,0,0,0,6,6,5,3,7,7,6,6,5,6,1,1,0,1,1,0,0,1,0,1,0,0,0,1,1,1,3,3,2,2,21,1,1,10,1,10,2,1,2,2,0
543,0,3,1,1,2,0,0,1,2,1,0,0,1,3,2,6,5,6,5,6,4,6,4,6,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,3,1,3,1,29,2,1,1,2,60,1,1,2,3,1
2399,0,0,1,1,0,0,0,1,1,1,0,0,0,2,3,2,6,5,5,6,4,7,5,3,1,1,0,1,1,0,0,0,0,1,0,0,1,0,1,1,2,3,2,2,18,2,1,8,1,10,2,1,2,2,0
6837,2,2,2,2,2,2,1,3,3,1,3,1,1,2,4,5,4,5,5,6,5,7,4,4,1,1,0,1,0,0,0,0,0,1,0,0,0,0,1,1,3,3,2,2,20,1,1,10,1,10,2,1,4,2,2
20475,0,1,0,1,0,2,1,1,1,0,2,1,1,1,6,5,7,6,6,3,3,4,6,6,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,3,1,2,1,19,1,1,10,3,10,2,1,4,2,0
1320,0,0,1,1,1,2,0,0,2,0,3,1,0,2,1,5,3,6,4,7,3,6,4,7,1,1,1,1,1,0,0,0,0,1,1,0,1,1,1,1,2,3,2,2,23,2,1,2,2,60,2,1,3,3,0
11709,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,1,4,5,4,4,7,3,4,1,1,0,1,1,0,0,1,0,1,0,0,1,1,1,1,1,3,2,1,17,1,1,1,5,10,2,1,3,2,2
13619,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,6,1,7,3,7,1,7,1,2,1,1,0,1,1,0,0,0,0,1,0,0,1,1,1,1,1,2,2,1,14,2,2,1,1,60,2,1,2,1,2
1797,1,3,0,2,3,1,3,3,1,2,2,1,2,3,1,5,2,6,7,6,3,7,2,2,1,1,1,1,1,0,0,1,0,1,0,0,1,1,1,1,3,3,2,1,29,2,1,1,3,60,1,1,2,3,2
422,1,3,1,2,1,1,3,1,1,1,1,1,3,3,1,5,6,7,1,7,4,3,6,3,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,2,1,2,1,21,2,1,12,4,30,1,1,3,2,2
7864,1,2,1,1,2,1,0,0,2,2,1,0,0,0,5,3,5,5,5,5,5,3,5,6,1,1,0,1,0,0,0,0,0,1,0,0,0,0,1,1,3,1,2,2,22,1,1,10,1,10,2,1,6,3,0
19511,1,1,2,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,2,1,20,1,1,10,5,10,2,1,8,2,1
21337,1,1,1,1,2,2,1,1,1,1,1,1,1,2,2,1,6,7,6,6,5,4,3,6,1,1,0,1,1,0,0,0,0,1,0,0,0,1,1,1,2,2,2,2,19,1,1,10,1,10,2,1,4,2,1
12052,1,2,2,3,1,3,2,2,2,2,1,1,2,2,6,5,2,4,5,7,6,7,2,5,1,1,0,1,1,0,0,0,0,1,0,0,0,1,1,1,2,3,2,2,18,1,1,10,1,10,2,1,4,2,2
20463,1,0,1,2,2,1,1,2,1,2,1,2,1,1,4,4,3,5,3,7,6,5,4,4,1,0,0,1,1,0,0,0,0,1,0,0,0,0,1,1,4,3,2,2,25,2,1,10,5,70,2,1,3,3,1
8458,1,0,0,2,2,1,0,1,1,2,2,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,18,1,1,10,1,10,2,2,4,2,0
8847,1,3,1,3,3,1,1,1,3,0,1,2,1,1,5,1,7,6,7,4,6,1,6,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,4,3,2,2,34,1,1,10,1,10,1,1,4,3,2
17722,1,3,1,1,1,0,1,1,1,2,1,2,1,1,4,5,4,6,5,4,5,6,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,1,2,16,1,1,10,1,10,2,1,4,1,1
11889,0,0,0,0,0,2,1,0,1,0,2,2,2,3,6,5,6,1,7,4,4,5,7,4,1,1,0,1,1,0,0,1,0,1,1,0,1,1,1,1,3,2,1,2,23,2,1,4,1,60,1,1,2,3,0
3391,0,1,0,1,1,0,0,0,1,0,1,1,0,1,7,7,7,2,6,6,7,2,7,2,1,1,0,1,1,0,0,0,0,1,0,0,0,1,1,1,2,3,2,2,18,1,1,7,1,60,2,1,2,2,0
4274,3,2,2,3,1,3,0,1,3,2,3,2,0,3,4,6,3,7,4,7,7,7,5,5,1,1,0,1,1,0,0,0,0,1,0,0,1,1,1,1,2,1,2,2,17,1,1,4,0,10,2,1,2,2,2
14199,1,1,1,1,0,0,0,0,0,1,1,1,0,3,1,6,1,7,6,5,5,7,2,7,1,1,0,1,1,0,0,0,0,1,0,0,0,1,1,1,0,2,2,2,26,2,1,10,1,10,2,1,4,3,0
1502,3,3,3,3,3,1,1,3,3,3,0,3,2,3,7,3,7,5,7,1,5,3,6,3,1,1,0,1,0,0,0,0,0,1,0,0,1,1,1,1,3,1,2,2,31,1,2,10,1,10,2,1,1,3,2
9861,0,0,1,2,3,3,0,0,3,1,0,1,0,0,7,2,7,7,7,4,7,5,6,1,1,1,0,1,1,0,0,0,0,1,0,1,0,0,1,1,2,3,2,1,14,2,1,4,0,60,2,1,2,1,1
10837,1,3,1,0,1,2,3,2,1,0,2,1,2,2,3,5,6,3,5,6,6,2,4,5,0,0,0,1,1,1,1,1,0,0,1,0,1,0,0,0,2,3,1,1,20,1,1,10,1,10,2,2,5,2,2
1741,1,1,1,2,1,1,2,1,3,2,1,2,1,1,5,1,6,2,5,1,7,4,2,2,1,1,0,1,1,1,0,0,0,1,0,0,1,1,1,1,3,1,2,1,33,1,1,7,1,60,2,2,4,3,1
11293,2,1,3,3,2,3,3,2,2,1,3,3,3,2,5,4,4,4,4,5,5,4,5,3,1,1,0,1,1,0,0,0,0,1,0,0,0,1,1,1,2,3,2,2,17,1,1,10,1,10,2,1,3,2,2
3489,3,2,3,3,2,3,2,2,2,2,3,2,2,3,1,7,7,7,4,5,6,7,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,18,1,1,1,2,60,2,1,5,2,2
12257,3,1,3,3,0,3,2,0,3,0,3,1,2,0,3,2,1,1,7,1,5,7,7,1,1,1,1,1,1,0,1,1,0,1,1,0,1,1,1,1,1,3,1,2,16,2,1,9,2,60,2,1,6,1,2
9644,1,0,0,1,1,0,0,0,0,0,1,1,1,1,6,3,3,2,6,5,7,2,7,2,1,0,0,1,1,0,0,0,0,1,0,0,0,1,1,1,3,3,1,1,20,1,1,6,1,70,2,1,3,2,0
25872,1,1,3,1,1,1,1,1,3,1,0,1,1,2,6,5,5,6,6,3,4,5,4,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3,1,2,1,27,1,1,10,5,10,2,1,4,3,1
6224,0,1,0,1,1,0,0,0,2,0,1,0,0,3,0,0,6,3,5,6,6,1,4,4,1,1,0,1,1,0,0,0,0,1,0,0,0,1,1,1,2,1,2,1,18,1,1,10,5,10,2,1,4,2,0
20409,0,1,0,0,0,1,0,1,1,0,1,1,0,1,6,3,6,3,7,3,6,5,6,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3,3,2,1,21,1,1,10,1,10,2,1,4,2,0
7263,0,0,1,1,0,1,0,1,0,0,0,0,0,1,6,6,5,7,5,7,7,7,5,2,1,1,0,1,1,0,0,0,0,1,0,0,1,0,1,1,3,3,2,2,20,1,1,10,1,10,2,1,5,2,0
17657,1,1,2,1,1,1,1,1,2,1,2,1,2,2,4,3,5,7,6,4,7,5,5,2,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,2,1,2,2,19,1,1,10,1,10,2,1,2,2,1
6261,2,2,3,3,3,3,2,3,3,3,3,2,2,2,3,5,5,7,1,5,7,7,2,2,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,1,4,1,2,2,32,2,1,10,2,10,1,3,2,3,2
30307,0,0,0,1,1,2,1,2,0,0,3,2,3,0,4,5,6,2,6,6,6,5,5,4,1,1,0,1,1,0,0,0,0,1,0,1,0,1,1,1,3,2,2,2,31,1,1,10,5,70,2,1,5,3,1
20761,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,3,3,2,1,20,1,1,10,0,10,2,1,3,2,0
17939,0,0,1,0,1,0,0,0,0,0,0,0,0,0,5,5,6,4,6,5,6,4,4,5,1,1,0,1,1,0,0,0,0,1,0,0,0,0,1,1,3,3,2,2,22,1,1,10,5,70,1,1,6,3,0
21333,0,1,1,1,1,3,1,0,1,3,1,0,0,0,4,4,6,6,5,5,5,3,3,3,1,1,0,1,1,0,0,0,0,1,0,0,0,0,1,1,3,3,2,2,23,1,1,10,1,10,1,1,1,3,0
2565,1,2,1,1,2,1,0,1,2,1,1,0,0,1,5,5,7,5,6,7,5,1,5,1,1,1,1,1,1,0,1,0,0,1,1,0,1,1,1,1,3,2,1,1,38,2,1,2,1,60,1,1,2,4,1
10399,2,3,3,3,3,3,3,2,3,2,3,3,3,3,1,5,5,6,5,6,4,6,1,4,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,2,2,2,17,1,1,1,2,60,2,1,3,2,2
18162,0,0,1,1,3,1,1,3,0,3,0,1,1,1,5,5,6,5,6,7,6,6,7,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,2,2,19,1,1,10,1,70,2,1,5,2,1
3714,3,3,1,1,3,1,1,3,1,3,1,1,1,2,2,6,3,6,6,7,2,6,3,4,1,1,0,1,1,0,0,0,0,1,0,0,0,1,1,1,1,2,3,1,17,2,1,12,2,60,2,1,2,2,2
4157,1,2,0,1,1,1,1,3,1,2,1,0,0,1,2,4,7,5,5,6,5,1,5,5,1,1,0,1,1,0,0,1,1,0,0,1,1,1,1,1,2,2,2,1,18,2,1,4,1,60,2,1,3,2,1
19275,0,0,0,2,0,0,0,0,1,0,1,0,0,1,6,2,3,5,7,6,6,4,6,1,1,0,0,1,1,0,0,1,0,1,0,1,0,1,1,1,3,1,2,2,21,1,1,10,0,10,2,1,4,2,0
4565,1,2,0,2,0,2,0,0,2,0,2,0,0,1,5,1,5,7,7,6,6,5,3,2,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,3,2,1,27,2,1,12,1,60,2,3,3,3,0
10588,0,2,3,3,3,3,2,3,2,3,3,3,2,2,2,2,7,6,2,7,5,1,2,7,1,1,0,1,1,0,0,0,0,1,0,0,1,1,1,1,2,1,1,1,20,1,1,7,1,60,1,1,2,2,2
17314,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,4,6,7,4,4,3,3,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3,1,2,1,22,1,1,10,1,10,2,1,6,3,1
5926,0,1,1,0,1,1,0,0,1,1,0,0,0,1,6,4,6,4,5,6,7,4,5,4,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,2,3,2,2,14,1,1,10,0,10,2,1,3,1,0
17457,1,1,1,2,1,1,2,1,2,1,2,2,1,1,2,5,4,4,5,6,5,6,4,3,1,1,1,1,1,0,0,1,0,1,0,1,1,1,1,1,2,3,1,2,34,1,1,4,1,10,1,1,3,3,1
4088,2,3,3,3,2,3,3,3,3,2,3,3,3,2,1,3,2,5,5,6,6,6,1,3,1,1,0,1,1,0,0,0,0,1,0,0,0,1,1,1,2,3,2,1,14,2,1,2,2,60,2,1,4,1,2
3051,1,3,2,3,2,1,1,2,3,3,2,3,1,3,6,6,7,3,5,4,6,2,6,3,1,1,1,1,1,0,0,1,0,1,0,0,1,1,1,1,3,3,2,1,19,2,3,4,2,60,1,1,3,2,2
13327,0,1,0,1,0,1,0,1,1,1,1,0,0,1,7,1,1,1,7,5,7,2,7,1,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,1,3,1,2,1,33,1,1,10,5,10,1,1,2,3,0
17111,0,0,1,0,0,1,1,0,0,0,0,0,0,0,7,1,7,5,7,3,7,5,7,5,1,0,0,1,0,0,0,1,0,1,1,0,0,1,1,1,3,1,2,1,20,1,3,10,0,10,1,1,3,2,0
10533,3,2,3,3,1,3,3,0,3,1,3,3,3,1,2,4,6,6,3,6,5,2,3,3,1,1,0,1,1,0,0,0,0,1,0,0,0,1,1,1,1,2,2,1,13,2,1,6,2,60,2,1,3,1,2
334,3,3,3,3,3,3,2,3,3,3,2,0,2,3,1,4,6,7,3,7,7,7,1,1,1,0,0,1,1,0,0,0,0,1,0,0,0,1,1,1,1,2,2,1,14,1,1,3,1,40,2,1,2,1,2
3490,2,3,2,3,2,3,2,3,2,2,3,2,3,2,2,2,2,7,6,7,4,7,2,6,1,0,0,1,1,0,0,1,0,1,0,0,0,1,1,1,2,2,2,2,17,1,1,7,4,10,2,0,0,2,2
13173,0,1,3,0,0,3,3,0,0,1,3,0,3,2,2,4,5,3,2,7,7,1,7,2,1,1,0,1,1,0,0,0,0,1,0,0,0,0,1,1,2,3,2,1,15,2,1,2,2,60,2,1,1,1,1
11202,1,1,0,1,1,0,0,0,1,0,1,0,0,1,3,5,6,5,2,2,6,5,3,6,1,0,0,1,1,0,0,0,0,1,0,0,0,1,1,1,3,1,2,2,22,2,1,10,1,10,2,1,6,3,0
6631,0,0,0,3,3,0,0,0,2,0,1,1,2,2,4,4,6,5,7,6,5,7,4,6,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,4,3,1,2,23,1,1,10,0,10,2,1,4,3,1
